review,sentimento,nota,banco
"Banco razoável, tem pontos bons e pontos a melhorar ainda Vou continuar usando.",neutro,3,C6 Bank
"Funciona bem para uso cotidiano, falta melhorar o suporte avançado Está de bom tamanho.",neutro,3,Inter
Transferência rejeitada sem motivo nenhum e sem explicação Decepcionante.,negativo,2,Next
Algumas funcionalidades boas mas falta o cartão físico virtual Vou continuar usando.,neutro,3,Nubank
"Rendimento da conta superior aos outros bancos, ótima opção com certeza.",positivo,5,PicPay
Conta bloqueada por suspeita de fraude mesmo sendo transação minha Decepcionante.,negativo,1,Bradesco
"Aplicativo muito seguro, autenticação por biometria funciona perfeitamente todo dia uso.",positivo,4,Bradesco
"Estorno demorou 30 dias, totalmente inadmissível Não recomendo.",negativo,1,Santander
"Não consigo acessar minha conta há dias, suporte não resolve ",negativo,2,Inter
"Crédito aprovado na hora, processo 100% digital e sem burocracia sem dúvida.",positivo,4,C6 Bank
Investi meu dinheiro pelo app e o processo foi muito simples todo dia uso.,positivo,4,Next
"Prefiro para conta corrente, para investimentos tem opções melhores ",neutro,3,Next
Conta sem tarifas mas o limite de crédito poderia ser maior Aguardando melhorias.,neutro,3,Santander
"Cobraram anuidade que disseram que seria zero, propaganda enganosa Vou cancelar.",negativo,2,C6 Bank
"Não consigo acessar o extrato antigo, app apagou tudo Decepcionante.",negativo,2,Bradesco
Bloquearam meu cartão sem motivo e não consegui desbloquear Evitem.,negativo,2,Inter
"App lento e cheio de bugs, precisa melhorar urgentemente ",negativo,1,Next
"Estou muito feliz com a decisão de trocar de banco, recomendo vale muito a pena.",positivo,5,Inter
"Crédito aprovado na hora, processo 100% digital e sem burocracia com certeza.",positivo,5,Next
"Suporte robotizado que não resolve nada, completamente inútil Péssimo.",negativo,2,C6 Bank
Algumas funcionalidades boas mas falta o cartão físico virtual Está de bom tamanho.,neutro,3,PicPay
"Banco razoável, tem pontos bons e pontos a melhorar ainda Vou continuar usando.",neutro,3,Bradesco
"Transferência via Pix funcionou perfeitamente, sem demora nenhuma todo dia uso.",positivo,4,Bradesco
"App simples e direto, sem muitos recursos mas cumpre o básico No geral ok.",neutro,3,PicPay
"Extrato detalhado e claro, consigo entender todos os gastos facilmente nunca decepcionou.",positivo,5,PicPay
"Aplicativo muito seguro, autenticação por biometria funciona perfeitamente vale muito a pena.",positivo,5,Santander
"Funciona bem para uso cotidiano, falta melhorar o suporte avançado Vou continuar usando.",neutro,3,Nubank
"Atendimento rápido e eficiente, resolveram meu problema em minutos do banco.",positivo,5,PicPay
"Crédito aprovado na hora, processo 100% digital e sem burocracia todo dia uso.",positivo,4,Itaú
"Conta salário sem taxas, economizo muito todo mês ",positivo,5,PicPay
"Extrato detalhado e claro, consigo entender todos os gastos facilmente nunca decepcionou.",positivo,5,Nubank
"Suporte robotizado que não resolve nada, completamente inútil Evitem.",negativo,1,Banco do Brasil
"Sem cobranças escondidas, totalmente transparente com as tarifas no geral.",positivo,5,Bradesco
"Interface linda e funcional, uso todos os dias sem problemas sempre.",positivo,5,Next
"Uso para transferências simples, funciona bem para isso Está de bom tamanho.",neutro,3,Banco do Brasil
Bloquearam meu cartão sem motivo e não consegui desbloquear Péssimo.,negativo,1,C6 Bank
"Melhor banco que já tive, zero tarifas e suporte incrível sempre.",positivo,4,C6 Bank
Transferência rejeitada sem motivo nenhum e sem explicação ,negativo,2,PicPay
"Transferência via Pix funcionou perfeitamente, sem demora nenhuma todo dia uso.",positivo,5,Bradesco
"Estou muito feliz com a decisão de trocar de banco, recomendo do banco.",positivo,4,Itaú
"Banco novo ainda se desenvolvendo, tem potencial mas falta recurso ",neutro,3,Itaú
"App muito bom, transferências instantâneas sem nenhum problema do banco.",positivo,5,Next
"Nada de especial, igual a outros bancos digitais do mercado Vou continuar usando.",neutro,3,PicPay
"Estorno demorou 30 dias, totalmente inadmissível Evitem.",negativo,2,PicPay
"Transferência via Pix funcionou perfeitamente, sem demora nenhuma vale muito a pena.",positivo,5,Neon
Atendentes mal treinados que não sabem responder nada ,negativo,2,Santander
"Atendimento rápido e eficiente, resolveram meu problema em minutos com certeza.",positivo,5,Neon
"Aplicativo excelente, muito fácil de usar e intuitivo vale muito a pena.",positivo,5,Itaú
"Limite de crédito aumentado sem eu pedir, banco confiante no cliente sempre.",positivo,4,Itaú
Suporte demora às vezes mas resolve no final das contas Vou continuar usando.,neutro,3,Nubank
"Nada de especial, igual a outros bancos digitais do mercado ",neutro,3,Inter
"App estável e bonito, atualizações sempre melhoram a experiência com certeza.",positivo,4,Banco do Brasil
"Banco novo ainda se desenvolvendo, tem potencial mas falta recurso Está de bom tamanho.",neutro,3,Neon
"App lento e cheio de bugs, precisa melhorar urgentemente Péssimo.",negativo,1,C6 Bank
"Ótimo banco digital, recomendo para todos os meus amigos todo dia uso.",positivo,4,Banco do Brasil
"Aplicativo excelente, muito fácil de usar e intuitivo todo dia uso.",positivo,5,Neon
"Prefiro para conta corrente, para investimentos tem opções melhores Aguardando melhorias.",neutro,3,Inter
"Interface linda e funcional, uso todos os dias sem problemas sem dúvida.",positivo,5,Bradesco
"App estável e bonito, atualizações sempre melhoram a experiência todo dia uso.",positivo,5,Bradesco
"Sistema fora do ar nos fins de semana, totalmente irresponsável Evitem.",negativo,2,Santander
"Uso para transferências simples, funciona bem para isso Está de bom tamanho.",neutro,3,Inter
"Limite de crédito aumentado sem eu pedir, banco confiante no cliente no geral.",positivo,5,Next
"Funciona bem para uso cotidiano, falta melhorar o suporte avançado No geral ok.",neutro,3,Nubank
"Aplicativo horrível no iOS, não abre desde a última atualização Vou cancelar.",negativo,2,Bradesco
"Aplicativo muito seguro, autenticação por biometria funciona perfeitamente com certeza.",positivo,5,Bradesco
"Melhor banco que já tive, zero tarifas e suporte incrível ",positivo,4,Itaú
Atendimento ok mas poderia ser mais rápido em horários de pico Vou continuar usando.,neutro,3,Banco do Brasil
"Nunca tive problemas com o app, sempre funciona perfeitamente ",positivo,4,Neon
"Tarifas abusivas, cobram por tudo e explicam muito mal Péssimo.",negativo,1,Banco do Brasil
"Atendimento rápido e eficiente, resolveram meu problema em minutos todo dia uso.",positivo,5,Bradesco
App funciona bem na maioria das vezes mas às vezes trava ,neutro,3,Banco do Brasil
"Aplicativo horrível no iOS, não abre desde a última atualização Decepcionante.",negativo,1,Neon
"Atendimento horrível, fiquei 2 horas esperando na fila do chat ",negativo,2,Inter
"Rendimento mediano, existem opções melhores no mercado hoje Aguardando melhorias.",neutro,3,Nubank
"Ótimo banco digital, recomendo para todos os meus amigos sempre.",positivo,4,Santander
App funciona bem na maioria das vezes mas às vezes trava Vou continuar usando.,neutro,3,PicPay
"Fila de espera eterna para falar com humano, é impossível Nunca mais.",negativo,1,Itaú
"Cobraram anuidade que disseram que seria zero, propaganda enganosa ",negativo,2,PicPay
"Tarifas abusivas, cobram por tudo e explicam muito mal Nunca mais.",negativo,1,Neon
"Banco razoável, tem pontos bons e pontos a melhorar ainda Aguardando melhorias.",neutro,3,C6 Bank
"Banco novo ainda se desenvolvendo, tem potencial mas falta recurso Aguardando melhorias.",neutro,3,Next
App travou durante uma transferência e o dinheiro sumiu do saldo Não recomendo.,negativo,1,Itaú
"Interface linda e funcional, uso todos os dias sem problemas sempre.",positivo,5,Santander
"Péssimo aplicativo, cai toda hora e perco tempo com isso Não recomendo.",negativo,2,Next
"Péssimo aplicativo, cai toda hora e perco tempo com isso Evitem.",negativo,1,Nubank
"Rendimento mediano, existem opções melhores no mercado hoje No geral ok.",neutro,3,Next
Bloquearam meu cartão sem motivo e não consegui desbloquear Vou cancelar.,negativo,1,Santander
"Extrato detalhado e claro, consigo entender todos os gastos facilmente com certeza.",positivo,5,Banco do Brasil
"Tarifas abusivas, cobram por tudo e explicam muito mal Decepcionante.",negativo,2,Itaú
"Funciona bem para uso cotidiano, falta melhorar o suporte avançado No geral ok.",neutro,3,PicPay
"Rendimento mediano, existem opções melhores no mercado hoje Vou continuar usando.",neutro,3,Itaú
"Cancelei o cartão e continuaram cobrando anuidade, absurdo Não recomendo.",negativo,1,Neon
"Pior experiência bancária da minha vida, vou cancelar a conta Evitem.",negativo,2,Itaú
App travou durante uma transferência e o dinheiro sumiu do saldo ,negativo,1,Inter
"Conta salário sem taxas, economizo muito todo mês no geral.",positivo,4,Itaú
Satisfeito com o básico mas quero ver evolução nos próximos meses ,neutro,3,Itaú
"Atendimento horrível, fiquei 2 horas esperando na fila do chat Não recomendo.",negativo,2,Santander
"Fila de espera eterna para falar com humano, é impossível Péssimo.",negativo,1,PicPay
Fraude na minha conta e o banco demora semanas para resolver ,negativo,1,Itaú
Limite ridículo que não aumenta mesmo com bom histórico Vou cancelar.,negativo,1,Itaú
"Suporte humanizado e ágil, nunca precisei esperar muito sem dúvida.",positivo,4,C6 Bank
"Crédito aprovado na hora, processo 100% digital e sem burocracia ",positivo,4,Bradesco
"Banco razoável, tem pontos bons e pontos a melhorar ainda Aguardando melhorias.",neutro,3,Santander
"Suporte humanizado e ágil, nunca precisei esperar muito sempre.",positivo,4,Neon
Investi meu dinheiro pelo app e o processo foi muito simples do banco.,positivo,5,PicPay
Atendentes mal treinados que não sabem responder nada Péssimo.,negativo,1,Neon
"Estorno demorou 30 dias, totalmente inadmissível Absurdo.",negativo,2,Bradesco
"Funciona bem para uso cotidiano, falta melhorar o suporte avançado ",neutro,3,PicPay
"Atendimento rápido e eficiente, resolveram meu problema em minutos nunca decepcionou.",positivo,4,Bradesco
"Transferência via Pix funcionou perfeitamente, sem demora nenhuma sempre.",positivo,5,Banco do Brasil
"Excelente experiência com o suporte via WhatsApp, muito ágil nunca decepcionou.",positivo,5,PicPay
Fraude na minha conta e o banco demora semanas para resolver ,negativo,2,Banco do Brasil
Meu pix sumiu e o banco não me dá retorno nenhum ,negativo,1,C6 Bank
"Funciona bem para uso cotidiano, falta melhorar o suporte avançado ",neutro,3,Next
"Nunca tive problemas com o app, sempre funciona perfeitamente vale muito a pena.",positivo,5,Neon
"Prefiro para conta corrente, para investimentos tem opções melhores ",neutro,3,Itaú
"Banco razoável, tem pontos bons e pontos a melhorar ainda Aguardando melhorias.",neutro,3,Itaú
"App lento e cheio de bugs, precisa melhorar urgentemente Decepcionante.",negativo,2,Neon
Meu pix sumiu e o banco não me dá retorno nenhum Não recomendo.,negativo,1,Neon
"Não consigo acessar minha conta há dias, suporte não resolve Evitem.",negativo,1,Santander
"Nada de especial, igual a outros bancos digitais do mercado Aguardando melhorias.",neutro,3,Inter
"Aplicativo excelente, muito fácil de usar e intuitivo ",positivo,4,Bradesco
"Pior experiência bancária da minha vida, vou cancelar a conta ",negativo,1,Bradesco
"Péssimo aplicativo, cai toda hora e perco tempo com isso Absurdo.",negativo,2,Inter
Meu pix sumiu e o banco não me dá retorno nenhum ,negativo,2,Itaú
Transferência rejeitada sem motivo nenhum e sem explicação Evitem.,negativo,1,Santander
"Cobraram anuidade que disseram que seria zero, propaganda enganosa ",negativo,1,Santander
"Extrato detalhado e claro, consigo entender todos os gastos facilmente sem dúvida.",positivo,4,Inter
"Extrato detalhado e claro, consigo entender todos os gastos facilmente no geral.",positivo,5,Nubank
"Estorno demorou 30 dias, totalmente inadmissível Péssimo.",negativo,2,Neon
"Uso para transferências simples, funciona bem para isso Vou continuar usando.",neutro,3,Itaú
"App simples e direto, sem muitos recursos mas cumpre o básico Está de bom tamanho.",neutro,3,Bradesco
Limite ridículo que não aumenta mesmo com bom histórico Evitem.,negativo,2,Banco do Brasil
App travou durante uma transferência e o dinheiro sumiu do saldo Absurdo.,negativo,1,Inter
"Melhor banco que já tive, zero tarifas e suporte incrível todo dia uso.",positivo,5,C6 Bank
"Aplicativo muito seguro, autenticação por biometria funciona perfeitamente sempre.",positivo,5,Neon
"Aplicativo horrível no iOS, não abre desde a última atualização Absurdo.",negativo,1,Itaú
Cobraram IOF absurdo sem informar antes da compra internacional Absurdo.,negativo,1,Bradesco
"Estorno demorou 30 dias, totalmente inadmissível Nunca mais.",negativo,1,PicPay
"Sem cobranças escondidas, totalmente transparente com as tarifas ",positivo,5,PicPay
"Abri minha conta em minutos, processo simples e rápido todo dia uso.",positivo,5,PicPay
"Tarifas abusivas, cobram por tudo e explicam muito mal Vou cancelar.",negativo,2,Bradesco
"Banco novo ainda se desenvolvendo, tem potencial mas falta recurso No geral ok.",neutro,3,Nubank
Cobraram IOF absurdo sem informar antes da compra internacional ,negativo,1,Banco do Brasil
Meu pix sumiu e o banco não me dá retorno nenhum ,negativo,2,Nubank
"App estável e bonito, atualizações sempre melhoram a experiência ",positivo,4,Neon
Satisfeito com o básico mas quero ver evolução nos próximos meses Está de bom tamanho.,neutro,3,Next
"Crédito aprovado na hora, processo 100% digital e sem burocracia sempre.",positivo,4,Next
Fraude na minha conta e o banco demora semanas para resolver Não recomendo.,negativo,2,Nubank
Conta sem tarifas mas o limite de crédito poderia ser maior Vou continuar usando.,neutro,3,Inter
"Rendimento mediano, existem opções melhores no mercado hoje Vou continuar usando.",neutro,3,C6 Bank
Satisfeito com o básico mas quero ver evolução nos próximos meses No geral ok.,neutro,3,Neon
"Não consigo acessar o extrato antigo, app apagou tudo Absurdo.",negativo,1,C6 Bank
Satisfeito com o básico mas quero ver evolução nos próximos meses ,neutro,3,Neon
"Nada de especial, igual a outros bancos digitais do mercado Vou continuar usando.",neutro,3,Next
"Atendimento rápido e eficiente, resolveram meu problema em minutos nunca decepcionou.",positivo,4,Santander
"Transferência via Pix funcionou perfeitamente, sem demora nenhuma sem dúvida.",positivo,5,Bradesco
"App lento e cheio de bugs, precisa melhorar urgentemente Evitem.",negativo,1,Itaú
"Fila de espera eterna para falar com humano, é impossível Evitem.",negativo,2,Inter
"Excelente experiência com o suporte via WhatsApp, muito ágil todo dia uso.",positivo,4,PicPay
"Extrato detalhado e claro, consigo entender todos os gastos facilmente vale muito a pena.",positivo,4,C6 Bank
"Atendimento rápido e eficiente, resolveram meu problema em minutos ",positivo,5,Bradesco
"Crédito aprovado na hora, processo 100% digital e sem burocracia vale muito a pena.",positivo,4,Neon
"Taxa de câmbio abusiva, cobram muito mais que outros bancos ",negativo,2,C6 Bank
"Rendimento mediano, existem opções melhores no mercado hoje Está de bom tamanho.",neutro,3,Next
Transferência rejeitada sem motivo nenhum e sem explicação Evitem.,negativo,2,Neon
"Banco novo ainda se desenvolvendo, tem potencial mas falta recurso Aguardando melhorias.",neutro,3,Bradesco
"Atendimento rápido e eficiente, resolveram meu problema em minutos vale muito a pena.",positivo,4,Santander
"Cobraram tarifa que não estava prevista, uma vergonha Evitem.",negativo,2,C6 Bank
"Estou muito feliz com a decisão de trocar de banco, recomendo com certeza.",positivo,5,Next
Limite ridículo que não aumenta mesmo com bom histórico Evitem.,negativo,1,Next
"Péssimo aplicativo, cai toda hora e perco tempo com isso Péssimo.",negativo,1,C6 Bank
Atendimento ok mas poderia ser mais rápido em horários de pico Vou continuar usando.,neutro,3,Itaú
"Banco razoável, tem pontos bons e pontos a melhorar ainda Está de bom tamanho.",neutro,3,Bradesco
"App lento e cheio de bugs, precisa melhorar urgentemente Péssimo.",negativo,1,Neon
"Interface linda e funcional, uso todos os dias sem problemas todo dia uso.",positivo,5,PicPay
Bloquearam meu cartão sem motivo e não consegui desbloquear Não recomendo.,negativo,2,Banco do Brasil
"Prefiro para conta corrente, para investimentos tem opções melhores Aguardando melhorias.",neutro,3,Inter
App funciona bem na maioria das vezes mas às vezes trava Vou continuar usando.,neutro,3,PicPay
"Rendimento mediano, existem opções melhores no mercado hoje ",neutro,3,Itaú
"Nada de especial, igual a outros bancos digitais do mercado No geral ok.",neutro,3,Bradesco
"Suporte robotizado que não resolve nada, completamente inútil Evitem.",negativo,2,Inter
Satisfeito com o básico mas quero ver evolução nos próximos meses Aguardando melhorias.,neutro,3,Next
Conta bloqueada por suspeita de fraude mesmo sendo transação minha Nunca mais.,negativo,2,C6 Bank
"Aplicativo muito seguro, autenticação por biometria funciona perfeitamente sem dúvida.",positivo,5,Bradesco
"Pior experiência bancária da minha vida, vou cancelar a conta Absurdo.",negativo,1,Nubank
"Fila de espera eterna para falar com humano, é impossível Absurdo.",negativo,2,PicPay
"Não consigo acessar o extrato antigo, app apagou tudo ",negativo,2,Santander
"App muito bom, transferências instantâneas sem nenhum problema todo dia uso.",positivo,5,Next
"Limite de crédito aumentado sem eu pedir, banco confiante no cliente todo dia uso.",positivo,5,Bradesco
"Banco razoável, tem pontos bons e pontos a melhorar ainda Aguardando melhorias.",neutro,3,Itaú
"Abri minha conta em minutos, processo simples e rápido sem dúvida.",positivo,4,Inter
"Limite de crédito aumentado sem eu pedir, banco confiante no cliente do banco.",positivo,4,C6 Bank
"Prefiro para conta corrente, para investimentos tem opções melhores Está de bom tamanho.",neutro,3,Inter
"Melhor banco que já tive, zero tarifas e suporte incrível com certeza.",positivo,5,Santander
Conta bloqueada por suspeita de fraude mesmo sendo transação minha Péssimo.,negativo,2,Banco do Brasil
"Não consigo acessar minha conta há dias, suporte não resolve Evitem.",negativo,2,Neon
"Nada de especial, igual a outros bancos digitais do mercado Está de bom tamanho.",neutro,3,Nubank
"Não consigo acessar o extrato antigo, app apagou tudo Não recomendo.",negativo,1,PicPay
Cobraram IOF absurdo sem informar antes da compra internacional ,negativo,1,Itaú
"Banco razoável, tem pontos bons e pontos a melhorar ainda No geral ok.",neutro,3,Santander
"Banco novo ainda se desenvolvendo, tem potencial mas falta recurso Está de bom tamanho.",neutro,3,C6 Bank
"Crédito aprovado na hora, processo 100% digital e sem burocracia com certeza.",positivo,5,Bradesco
"Aplicativo horrível no iOS, não abre desde a última atualização Decepcionante.",negativo,2,Nubank
"Ótimo banco digital, recomendo para todos os meus amigos do banco.",positivo,5,Inter
Meu pix sumiu e o banco não me dá retorno nenhum ,negativo,2,Inter
"App estável e bonito, atualizações sempre melhoram a experiência ",positivo,4,Inter
"Não consigo acessar o extrato antigo, app apagou tudo Nunca mais.",negativo,1,Itaú
"Extrato detalhado e claro, consigo entender todos os gastos facilmente todo dia uso.",positivo,5,Bradesco
"Uso para transferências simples, funciona bem para isso ",neutro,3,C6 Bank
"Cobraram anuidade que disseram que seria zero, propaganda enganosa Decepcionante.",negativo,2,PicPay
"Notificações em tempo real de todas as transações, me sinto seguro do banco.",positivo,4,Inter
"Atendimento via chat foi excelente, resolveram tudo rapidamente nunca decepcionou.",positivo,4,C6 Bank
"Tarifas aceitáveis, não é o mais barato mas também não é caro ",neutro,3,Neon
Limite ridículo que não aumenta mesmo com bom histórico Evitem.,negativo,2,Nubank
"Estou muito feliz com a decisão de trocar de banco, recomendo ",positivo,5,Bradesco
"Interface linda e funcional, uso todos os dias sem problemas todo dia uso.",positivo,5,Banco do Brasil
"Excelente experiência com o suporte via WhatsApp, muito ágil sempre.",positivo,5,Next
"Cobraram anuidade que disseram que seria zero, propaganda enganosa Vou cancelar.",negativo,2,Inter
"Transferência via Pix funcionou perfeitamente, sem demora nenhuma do banco.",positivo,5,C6 Bank
App funciona bem na maioria das vezes mas às vezes trava Aguardando melhorias.,neutro,3,C6 Bank
"Cobraram anuidade que disseram que seria zero, propaganda enganosa Vou cancelar.",negativo,2,Banco do Brasil
"Suporte robotizado que não resolve nada, completamente inútil Absurdo.",negativo,1,Banco do Brasil
Meu pix sumiu e o banco não me dá retorno nenhum Absurdo.,negativo,1,Itaú
Investi meu dinheiro pelo app e o processo foi muito simples com certeza.,positivo,4,Nubank
"Extrato detalhado e claro, consigo entender todos os gastos facilmente no geral.",positivo,5,Neon
"Aplicativo horrível no iOS, não abre desde a última atualização Não recomendo.",negativo,1,PicPay
"Prefiro para conta corrente, para investimentos tem opções melhores ",neutro,3,Inter
"Interface linda e funcional, uso todos os dias sem problemas com certeza.",positivo,4,PicPay
"Prefiro para conta corrente, para investimentos tem opções melhores Está de bom tamanho.",neutro,3,Inter
"Banco razoável, tem pontos bons e pontos a melhorar ainda Vou continuar usando.",neutro,3,Neon
Fraude na minha conta e o banco demora semanas para resolver ,negativo,2,Inter
"Limite de crédito aumentado sem eu pedir, banco confiante no cliente nunca decepcionou.",positivo,5,Neon
"Limite de crédito aumentado sem eu pedir, banco confiante no cliente sem dúvida.",positivo,4,Santander
"Sistema fora do ar nos fins de semana, totalmente irresponsável Decepcionante.",negativo,1,Santander
"Atendimento rápido e eficiente, resolveram meu problema em minutos sempre.",positivo,5,Bradesco
"Tarifas aceitáveis, não é o mais barato mas também não é caro Está de bom tamanho.",neutro,3,Next
"Uso para transferências simples, funciona bem para isso Vou continuar usando.",neutro,3,Inter
"Uso para transferências simples, funciona bem para isso ",neutro,3,Itaú
"Cartão sem anuidade e cashback real, estou muito satisfeito sem dúvida.",positivo,5,Banco do Brasil
"Cobraram anuidade que disseram que seria zero, propaganda enganosa Decepcionante.",negativo,2,Next
"Funciona bem para uso cotidiano, falta melhorar o suporte avançado Aguardando melhorias.",neutro,3,Itaú
"Ótimo banco digital, recomendo para todos os meus amigos com certeza.",positivo,4,PicPay
"Tarifas abusivas, cobram por tudo e explicam muito mal Evitem.",negativo,2,Next
"Banco novo ainda se desenvolvendo, tem potencial mas falta recurso Aguardando melhorias.",neutro,3,Nubank
"Ótimo banco digital, recomendo para todos os meus amigos vale muito a pena.",positivo,4,Nubank
"Notificações em tempo real de todas as transações, me sinto seguro sem dúvida.",positivo,5,Neon
Atendimento ok mas poderia ser mais rápido em horários de pico Aguardando melhorias.,neutro,3,Inter
"Atendimento rápido e eficiente, resolveram meu problema em minutos nunca decepcionou.",positivo,4,PicPay
"Taxa de câmbio abusiva, cobram muito mais que outros bancos Evitem.",negativo,1,Itaú
"Uso para transferências simples, funciona bem para isso No geral ok.",neutro,3,Nubank
"Aplicativo excelente, muito fácil de usar e intuitivo nunca decepcionou.",positivo,5,Neon
Transferência rejeitada sem motivo nenhum e sem explicação Péssimo.,negativo,2,Next
Limite ridículo que não aumenta mesmo com bom histórico Decepcionante.,negativo,2,Santander
Atendimento ok mas poderia ser mais rápido em horários de pico Vou continuar usando.,neutro,3,Neon
"Conta salário sem taxas, economizo muito todo mês ",positivo,5,Next
"Limite de crédito aumentado sem eu pedir, banco confiante no cliente todo dia uso.",positivo,5,PicPay
"Banco novo ainda se desenvolvendo, tem potencial mas falta recurso No geral ok.",neutro,3,PicPay
"Tarifas aceitáveis, não é o mais barato mas também não é caro Aguardando melhorias.",neutro,3,PicPay
Atendimento ok mas poderia ser mais rápido em horários de pico Vou continuar usando.,neutro,3,Banco do Brasil
Fraude na minha conta e o banco demora semanas para resolver Vou cancelar.,negativo,2,Next
Bloquearam meu cartão sem motivo e não consegui desbloquear Absurdo.,negativo,1,Nubank
App funciona bem na maioria das vezes mas às vezes trava No geral ok.,neutro,3,PicPay
"Abri minha conta em minutos, processo simples e rápido vale muito a pena.",positivo,4,Bradesco
"Abri minha conta em minutos, processo simples e rápido sempre.",positivo,5,PicPay
"Abri minha conta em minutos, processo simples e rápido com certeza.",positivo,4,Banco do Brasil
"Rendimento mediano, existem opções melhores no mercado hoje No geral ok.",neutro,3,C6 Bank
"Uso para transferências simples, funciona bem para isso Aguardando melhorias.",neutro,3,Inter
"App simples e direto, sem muitos recursos mas cumpre o básico Está de bom tamanho.",neutro,3,Inter
"Uso para transferências simples, funciona bem para isso Vou continuar usando.",neutro,3,Itaú
"Interface linda e funcional, uso todos os dias sem problemas sem dúvida.",positivo,4,Nubank
"App estável e bonito, atualizações sempre melhoram a experiência todo dia uso.",positivo,5,Bradesco
"Aplicativo horrível no iOS, não abre desde a última atualização Vou cancelar.",negativo,2,Santander
"Cobraram anuidade que disseram que seria zero, propaganda enganosa ",negativo,1,Santander
"Tarifas aceitáveis, não é o mais barato mas também não é caro Vou continuar usando.",neutro,3,Next
"Sem cobranças escondidas, totalmente transparente com as tarifas com certeza.",positivo,5,Bradesco
"Estou muito feliz com a decisão de trocar de banco, recomendo sem dúvida.",positivo,5,Santander
"Crédito aprovado na hora, processo 100% digital e sem burocracia ",positivo,4,Neon
"Crédito aprovado na hora, processo 100% digital e sem burocracia vale muito a pena.",positivo,4,Banco do Brasil
Conta bloqueada por suspeita de fraude mesmo sendo transação minha Nunca mais.,negativo,2,Bradesco
"Funciona bem para uso cotidiano, falta melhorar o suporte avançado ",neutro,3,Santander
"Cartão sem anuidade e cashback real, estou muito satisfeito sempre.",positivo,4,PicPay
"Ótimo banco digital, recomendo para todos os meus amigos com certeza.",positivo,5,Neon
"Fila de espera eterna para falar com humano, é impossível Absurdo.",negativo,1,Nubank
Fraude na minha conta e o banco demora semanas para resolver Absurdo.,negativo,2,Santander
"Interface linda e funcional, uso todos os dias sem problemas todo dia uso.",positivo,4,C6 Bank
Investi meu dinheiro pelo app e o processo foi muito simples sempre.,positivo,4,Bradesco
Satisfeito com o básico mas quero ver evolução nos próximos meses Vou continuar usando.,neutro,3,C6 Bank
Suporte demora às vezes mas resolve no final das contas Vou continuar usando.,neutro,3,Banco do Brasil
"Banco razoável, tem pontos bons e pontos a melhorar ainda Vou continuar usando.",neutro,3,Next
Algumas funcionalidades boas mas falta o cartão físico virtual ,neutro,3,PicPay
Limite ridículo que não aumenta mesmo com bom histórico Nunca mais.,negativo,2,Nubank
"Taxa de câmbio abusiva, cobram muito mais que outros bancos Decepcionante.",negativo,1,Nubank
Suporte demora às vezes mas resolve no final das contas Vou continuar usando.,neutro,3,PicPay
"Extrato detalhado e claro, consigo entender todos os gastos facilmente nunca decepcionou.",positivo,5,PicPay
Conta sem tarifas mas o limite de crédito poderia ser maior Aguardando melhorias.,neutro,3,C6 Bank
"Extrato detalhado e claro, consigo entender todos os gastos facilmente sem dúvida.",positivo,4,Next
"Funciona bem para uso cotidiano, falta melhorar o suporte avançado Está de bom tamanho.",neutro,3,Santander
"Melhor banco que já tive, zero tarifas e suporte incrível sempre.",positivo,5,Santander
"Crédito aprovado na hora, processo 100% digital e sem burocracia nunca decepcionou.",positivo,4,Inter
"Aplicativo horrível no iOS, não abre desde a última atualização Vou cancelar.",negativo,2,Banco do Brasil
"Transferência via Pix funcionou perfeitamente, sem demora nenhuma com certeza.",positivo,4,Nubank
"Uso para transferências simples, funciona bem para isso Está de bom tamanho.",neutro,3,C6 Bank
"Banco razoável, tem pontos bons e pontos a melhorar ainda No geral ok.",neutro,3,Next
"Péssimo aplicativo, cai toda hora e perco tempo com isso Nunca mais.",negativo,2,Bradesco
"Banco razoável, tem pontos bons e pontos a melhorar ainda Vou continuar usando.",neutro,3,Bradesco
"Não consigo acessar o extrato antigo, app apagou tudo Nunca mais.",negativo,1,Nubank
"Limite de crédito aumentado sem eu pedir, banco confiante no cliente sem dúvida.",positivo,4,Santander
Suporte demora às vezes mas resolve no final das contas Aguardando melhorias.,neutro,3,Banco do Brasil
"Pior experiência bancária da minha vida, vou cancelar a conta Vou cancelar.",negativo,2,Itaú
"Melhor banco que já tive, zero tarifas e suporte incrível nunca decepcionou.",positivo,5,Inter
"Nunca tive problemas com o app, sempre funciona perfeitamente todo dia uso.",positivo,5,Santander
"Uso para transferências simples, funciona bem para isso No geral ok.",neutro,3,Next
"Pior experiência bancária da minha vida, vou cancelar a conta Péssimo.",negativo,2,Neon
"Tarifas aceitáveis, não é o mais barato mas também não é caro ",neutro,3,Nubank
Transferência rejeitada sem motivo nenhum e sem explicação Péssimo.,negativo,1,Inter
"Estou muito feliz com a decisão de trocar de banco, recomendo do banco.",positivo,4,C6 Bank
"Sem cobranças escondidas, totalmente transparente com as tarifas no geral.",positivo,4,Banco do Brasil
"Banco novo ainda se desenvolvendo, tem potencial mas falta recurso Está de bom tamanho.",neutro,3,C6 Bank
App travou durante uma transferência e o dinheiro sumiu do saldo Decepcionante.,negativo,1,Bradesco
"Fila de espera eterna para falar com humano, é impossível Péssimo.",negativo,1,Inter
